訪問,施設名,番号&施設名,google map,住所,TEL,料金,利用時間,定休日ほか,家族湯（貸切湯）,泉質,最寄りバス停,最寄り駅,駐車場,その他,URL,温泉道URL,
,別府温泉 竹瓦温泉,第1番 竹瓦温泉,https://maps.app.goo.gl/ftgvcgQ336b5u2Ch9,別府市元町16-23,0977-23-1585,"300円、砂湯1,500円",6:30〜22:30、砂湯8:00～22：30（最終受付21：30）,第３水曜（祝日の場合は翌日）,,塩化物泉、炭酸水素塩泉,流川ゆめタウン前 2分,別府駅10分,なし,,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail4.html,https://onsendo.beppu-navi.jp/y1/,
,別府温泉 海門寺温泉,第3番 海門寺温泉,https://maps.app.goo.gl/Nyio3ykEe4oFKJUF9,別府市北浜2丁目3-2,0977-22-3625,大人250円　小人100円,6:30～14：00　15：00〜22:30,第2月曜日,,炭酸水素塩泉,駅前本町 4分,別府駅5分,3台（車イス利用者用1台含む）　入浴者はつるみカーパーク　1時間無料,,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail7.html,https://onsendo.beppu-navi.jp/y3/,
,別府温泉 不老泉,第4番 不老泉,https://maps.app.goo.gl/jqS4efjGJdjWCmf46,別府市中央町7-16,0977-21-0253,大人250円　小人100円,6:30〜14：00　15：00～22:30,第1月曜日,,単純温泉,流川6丁目 3分,別府駅3分,9台（車イス利用者用1台含む）　入浴者はつるみカーパーク　1時間無料,,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail5.html,https://onsendo.beppu-navi.jp/y4/,
,別府温泉 田の湯温泉,第5番 田の湯温泉,https://maps.app.goo.gl/rJjtFxG8uVB2wkJg7,別府市田の湯町4-23,0977-21-1381,大人200円　小人100円,6:30〜14：00　15：00～22:30,第１火曜日,,炭酸水素塩泉,田の湯 2分,別府駅5分,なし,,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail6.html,https://onsendo.beppu-navi.jp/y5/,
,別府温泉 永石温泉,第6番 永石温泉,https://maps.app.goo.gl/RdrpxdSx3pNr8qsz7,別府市南町2-2,0977-26-5789,大人200円　小人100円,6:30〜14：00　15：00～22:30,第２火曜日,,単純温泉,永石温泉前 1分,別府駅12分,なし,,https://www.city.beppu.oita.jp/sisetu/shieionsen/detail3.html,https://onsendo.beppu-navi.jp/y6/,
,別府温泉 駅前高等温泉,第7番 駅前高等温泉,https://maps.app.goo.gl/RRvVret9ZMAtoBrY6?g_st=com.google.maps.preview.copy,別府市駅前町13-14,0977-21-0541,あつ湯、ぬる湯各大人250円　小人150円,8:00〜23:00（宿泊者がいる場合のみ６:00～深夜0：00）,年３回（不定休）,,単純温泉,駅前本町 1分,別府駅2分,5台,,,https://onsendo.beppu-navi.jp/y7/,
,別府温泉 九日天温泉,第8番 九日天温泉,https://maps.app.goo.gl/A2wXHfW28paZERYUA?g_st=com.google.maps.preview.copy,別府市上田の湯町15-8,0977-21-1304,150円,6:30〜10:30／14:00〜22：00,年１回　不定休,,炭酸水素塩泉,田の湯 2分,別府駅6分,8台,,,https://onsendo.beppu-navi.jp/y8/,
,別府温泉 寿温泉,第10番 寿温泉,https://maps.app.goo.gl/LuvEUDiY9wTr87Je8?g_st=com.google.maps.preview.copy,別府市楠町11-15,なし,300円,15:00〜24:00,不定,,炭酸水素塩泉,流川2丁目 1分,別府駅10分,なし,,,https://onsendo.beppu-navi.jp/y10/,
,別府温泉 紙屋温泉,第11番 紙屋温泉,https://maps.app.goo.gl/ahPfR9wwLrhebsLB8?g_st=com.google.maps.preview.copy,別府市千代町8番の2,,300円,13:00〜22：00,,,炭酸水素塩泉、塩化物泉,永石温泉前 2分,別府駅12分,5台,,,https://onsendo.beppu-navi.jp/y11/,
,別府温泉 松原温泉,第12番 松原温泉,https://maps.app.goo.gl/SDWZbqJSsVmhiwGU9?g_st=com.google.maps.preview.copy,別府市松原町3-4,なし,200円,6:30〜12:00／15:00〜23:00,毎月5・20日,,炭酸水素塩泉,永石温泉前 3分,東別府駅5分,3台,,,https://onsendo.beppu-navi.jp/y12/,
